"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Plynospotrebiče","5","3","Partizánska 35","Kolárovo",,"SK",,,"Predajňa domácich potrieb",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plynospotrebi%C4%8De&query_place_id=ChIJ67UWmPWna0cRKpDezY2pm2Q","Predajňa domácich potrieb"
"PLYNAR Bratislava","4.3","17","Grösslingová 2451/11","Bratislava",,"SK","https://www.plynarbratislava.sk/","+421 949 693 513","Plynoinštalatér",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PLYNAR%20Bratislava&query_place_id=ChIJxak_3kOJbEcRg3D9OjMzkow","Plynoinštalatér"
"Plynar Bratislava - KRAJČÍR Róbert","4.9","32","Šustekova 19","Petržalka",,"SK","http://ba-plynar.sk/","+421 907 811 872","Plynoinštalatér",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plynar%20Bratislava%20-%20KRAJ%C4%8C%C3%8DR%20R%C3%B3bert&query_place_id=ChIJ5717ewSJbEcR0IWgMrecDFs","Plynoinštalatér"
"JN PLYN, s.r.o.","4.4","8","Wuppertálska 1380/3","Košice",,"SK","https://www.jnplyn.sk/","+421 903 458 049","Kúrenárske práce",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JN%20PLYN%2C%20s.r.o.&query_place_id=ChIJbzbwUTbgPkcRD-MUiTDmMBE","Kúrenárske práce"
"PLYNOSERVIS Humenné, s. r. o.","4.7","12","Kukorelliho 2315/60","Humenné",,"SK","http://www.plynoservishe.sk/","+421 905 506 490","Veľkoobchod",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PLYNOSERVIS%20Humenn%C3%A9%2C%20s.%20r.%20o.&query_place_id=ChIJHTs84wO1PkcRLddI4B_t0So","Veľkoobchod"
"ANDREJ REPASKÝ servis plynových kotlov","5","4","Golianovo 553, Golianovo","Golianovo",,"SK",,"+421 917 409 984","Dodávateľ zariadení pre kúrenárov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ANDREJ%20REPASK%C3%9D%20servis%20plynov%C3%BDch%20kotlov&query_place_id=ChIJ0y25nQM9a0cRSkII_vyu9z0","Dodávateľ zariadení pre kúrenárov"
"Plynko.sk","5","20","Externé","Martin",,"SK","https://plynko.sk/","+421 905 384 384","Plynoinštalatér","Elektrikár",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plynko.sk&query_place_id=ChIJCzBix1b_FEcRM5D8KSWshOg","Plynoinštalatér"
"KVP ENERGO - kúrenie voda plyn solar elektrika","5","26","I.Bukovčana 849/1","Prievidza",,"SK","http://www.kvpenergo.sk/","+421 908 745 562","Kúrenárske práce",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KVP%20ENERGO%20-%20k%C3%BArenie%20voda%20plyn%20solar%20elektrika&query_place_id=ChIJc_I37IXdFEcRkEXSttDgWd0","Kúrenárske práce"
"Inštalatér - Voda, Plyn, Kúrenie, Plynové kotle, Havaríjna služba NONSTOP 24/7","4.9","33","Košická 24","Senec",,"SK","https://instalater-senec.sk/","+421 949 157 666","Vodoinštalatér","Plynoinštalatér","Kúrenárske práce",,,,,,,,"https://www.google.com/maps/search/?api=1&query=In%C5%A1talat%C3%A9r%20-%20Voda%2C%20Plyn%2C%20K%C3%BArenie%2C%20Plynov%C3%A9%20kotle%2C%20Havar%C3%ADjna%20slu%C5%BEba%20NONSTOP%2024%2F7&query_place_id=ChIJq4_kJN-dbEcR8KIPwtSyWyE","Vodoinštalatér"
"Fodor Edmund - Plynoinštalácia",,,"Športová 672","Vrakúň",,"SK",,"+421 31/551 95 91",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fodor%20Edmund%20-%20Plynoin%C5%A1tal%C3%A1cia&query_place_id=ChIJfcqgTaaba0cRVChfQkcXfUg",
