id,original_title,website,final_company_name,ai_first_sentence,email,phone,city,category
1,Plynospotrebiče,,Plynospotrebiče,"Dobrý deň. Páči sa mi, že v Plynospotrebiče sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,,Kolárovo,Predajňa domácich potrieb
2,PLYNAR Bratislava,https://www.plynarbratislava.sk/,Plynarbratislava,"Dobrý deň. Páči sa mi, že v Plynarbratislava sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 949 693 513,Bratislava,Plynoinštalatér
3,Plynar Bratislava - KRAJČÍR Róbert,http://ba-plynar.sk/,Ba Plynar,"Dobrý deň. Páči sa mi, že v Ba Plynar sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 907 811 872,Petržalka,Plynoinštalatér
4,"JN PLYN, s.r.o.",https://www.jnplyn.sk/,Jnplyn,"Dobrý deň. Páči sa mi, že v Jnplyn sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 458 049,Košice,Kúrenárske práce
5,"PLYNOSERVIS Humenné, s. r. o.",http://www.plynoservishe.sk/,Plynoservishe,"Dobrý deň. Páči sa mi, že v Plynoservishe sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 506 490,Humenné,Veľkoobchod
6,ANDREJ REPASKÝ servis plynových kotlov,,ANDREJ REPASKÝ servis plynových kotlov,"Dobrý deň. Páči sa mi, že v ANDREJ REPASKÝ servis plynových kotlov sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 917 409 984,Golianovo,Dodávateľ zariadení pre kúrenárov
7,Plynko.sk,https://plynko.sk/,Plynko,"Dobrý deň. Páči sa mi, že v Plynko sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 384 384,Martin,Plynoinštalatér
8,KVP ENERGO - kúrenie voda plyn solar elektrika,http://www.kvpenergo.sk/,Kvpenergo,"Dobrý deň. Páči sa mi, že v Kvpenergo sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 908 745 562,Prievidza,Kúrenárske práce
9,"Inštalatér - Voda, Plyn, Kúrenie, Plynové kotle, Havaríjna služba NONSTOP 24/7",https://instalater-senec.sk/,Instalater Senec,"Dobrý deň. Páči sa mi, že v Instalater Senec sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 949 157 666,Senec,Vodoinštalatér
10,Fodor Edmund - Plynoinštalácia,,Fodor Edmund,"Dobrý deň. Páči sa mi, že v Fodor Edmund sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 31/551 95 91,Vrakúň,
11,Plynoma spol. s r.o.,https://plynoma.sk/,Plynoma,"Dobrý deň. Páči sa mi, že v Plynoma sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 51/773 24 66,"Solivar, Prešov",Servis vykurovacích zariadení
12,TPGAS - Servis plynových zariadení,https://tpgas.sk/,Tpgas,"Dobrý deň. Páči sa mi, že v Tpgas sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 949 707 970,"Mokraď, Dolný Kubín",Obchod s plynovými zariadeniami
13,GAS-HEATING s.r.o,,GAS-HEATING,"Dobrý deň. Páči sa mi, že v GAS-HEATING sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,,,Kúrenárske práce
14,Helia - Inštalatér Kurenar Vodar Plyn,https://helia.sk/,Helia,"Dobrý deň. Páči sa mi, že v Helia sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 944 527 693,,Vodoinštalatér
15,JL-INSTAL s.r.o.Voda Plyn Kúrenie,http://www.jl-instal.sk/,Jl Instal,"Dobrý deň. Páči sa mi, že v Jl Instal sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 917 633 744,Senec,Vodoinštalatér
