id,original_title,website,final_company_name,ai_first_sentence,email,phone,city,category
1,Plynospotrebiče,,Plynospotrebiče,"Dobrý deň. Páči sa mi, že v Plynospotrebiče pôsobíte v sektore Predajňa domácich potrieb.",,,Kolárovo,Predajňa domácich potrieb
2,PLYNAR Bratislava,https://www.plynarbratislava.sk/,Plynarbratislava,"Dobrý deň. Páči sa mi, že v Plynarbratislava zabezpečujete rýchly a efektívny priebeh všetkých projektov.",,+421 949 693 513,Bratislava,Plynoinštalatér
3,Plynar Bratislava - KRAJČÍR Róbert,http://ba-plynar.sk/,Ba Plynar,"Dobrý deň. Páči sa mi, že v Ba Plynar sa špecializujete na montáž.",,+421 907 811 872,Petržalka,Plynoinštalatér
4,"JN PLYN, s.r.o.",https://www.jnplyn.sk/,Jnplyn,"Dobrý deň. Páči sa mi, že v Jnplyn sa špecializujete na predaj.",,+421 903 458 049,Košice,Kúrenárske práce
5,"PLYNOSERVIS Humenné, s. r. o.",http://www.plynoservishe.sk/,Plynoservishe,"Dobrý deň. Páči sa mi, že v Plynoservishe sa špecializujete na predaj a servis tepelných čerpadiel.",,+421 905 506 490,Humenné,Veľkoobchod
6,ANDREJ REPASKÝ servis plynových kotlov,,ANDREJ REPASKÝ servis plynových kotlov,"Dobrý deň. Páči sa mi, že v ANDREJ REPASKÝ servis plynových kotlov pôsobíte v sektore Dodávateľ zariadení pre kúrenárov.",,+421 917 409 984,Golianovo,Dodávateľ zariadení pre kúrenárov
7,Plynko.sk,https://plynko.sk/,Plynko,"Dobrý deň. Páči sa mi, že v Plynko poskytujete kvalitné a bezpečné služby v oblasti inštalácie a.",,+421 905 384 384,Martin,Plynoinštalatér
8,KVP ENERGO - kúrenie voda plyn solar elektrika,http://www.kvpenergo.sk/,Kvpenergo,"Dobrý deň. Páči sa mi, že v Kvpenergo sa špecializujete na moderné a efektívne riešenia v oblastiach vykurovania.",,+421 908 745 562,Prievidza,Kúrenárske práce
9,"Inštalatér - Voda, Plyn, Kúrenie, Plynové kotle, Havaríjna služba NONSTOP 24/7",https://instalater-senec.sk/,Instalater,"Dobrý deň. Páči sa mi, že v Instalater ponúkate široké spektrum služieb.",,+421 949 157 666,Senec,Vodoinštalatér
10,Fodor Edmund - Plynoinštalácia,,Fodor Edmund,"Dobrý deň. Páči sa mi, že v Fodor Edmund pôsobíte v sektore oblasti služieb.",,+421 31/551 95 91,Vrakúň,
11,Plynoma spol. s r.o.,https://plynoma.sk/,Plynoma,"Dobrý deň. Páči sa mi, že v Plynoma poskytujete servisné služby.",,+421 51/773 24 66,"Solivar, Prešov",Servis vykurovacích zariadení
12,TPGAS - Servis plynových zariadení,https://tpgas.sk/,Tpgas,"Dobrý deň. Páči sa mi, že v Tpgas sa špecializujete na odborný servis plynových a elektrických kotlov.",,+421 949 707 970,"Mokraď, Dolný Kubín",Obchod s plynovými zariadeniami
13,GAS-HEATING s.r.o,,GAS-HEATING,"Dobrý deň. Páči sa mi, že v GAS-HEATING sa venujete kúrenárskym prácam a inštaláciám.",,,,Kúrenárske práce
14,Helia - Inštalatér Kurenar Vodar Plyn,https://helia.sk/,Helia,"Dobrý deň. Páči sa mi, že v Helia sa špecializujete na komplexné inštalatérske služby.",,+421 944 527 693,,Vodoinštalatér
15,JL-INSTAL s.r.o.Voda Plyn Kúrenie,http://www.jl-instal.sk/,Jl Instal,"Dobrý deň. Páči sa mi, že v Jl Instal sa špecializujete na komplexné služby v oblasti plynoinštalácií.",,+421 917 633 744,Senec,Vodoinštalatér
16,GAZ-TERM | Daniel Palko,http://www.gaz-term.sk/,Gaz Term,"Dobrý deň. Páči sa mi, že v Gaz Term sa zameriavate na kvalitu a ekologické riešenia pre domácnosti a.",,+421 907 159 269,Považská Bystrica,Obchod s potrebami pre inštalatérov
17,PRIPOJKY.info | Projekty voda - kanalizácia - plyn - elektrika - elektroinštalácie,https://pripojky.info/,Pripojky,"Dobrý deň. Páči sa mi, že v Pripojky sa špecializujete na komplexné služby v oblasti inžinierskych sietí.",,+421 915 768 953,"Opatovce, Žitavany",Projektantské služby
18,"Kúrenie, voda, plyn-Pavol Jakubec",,"Kúrenie, voda, plyn-Pavol Jakubec","Dobrý deň. Páči sa mi, že v Kúrenie, voda, plyn-Pavol Jakubec sa venujete kúrenárskym prácam a inštaláciám.",,+421 905 839 211,Turzovka,Kúrenárske práce
19,ABSOL s.r.o.,http://www.absol.sk/,Absol,"Dobrý deň. Páči sa mi, že v Absol sa špecializujete sa na obchodnú.",,+421 918 583 574,Pezinok,Obchod
20,Montinštala,http://www.montinstala.sk/,Montinstala,"Dobrý deň. Páči sa mi, že v Montinstala sa špecializujete na komplexné služby v oblasti montáže a údržby.",,+421 903 235 563,Lužianky,Vodoinštalatér
21,Revízie plynových zariadení - RTHOMOLA,https://www.rthomola.sk/,Rthomola,"Dobrý deň. Páči sa mi, že v Rthomola sa špecializujete na revízie a odborné zapojenie plynových zariadení.",,+421 903 606 010,Nitra,Služba inštalácie plynu
22,"Plynomont, S.r.o.",https://www.novezamky.sk/plynomont-s-r-o/os-1748,Novezamky,"Dobrý deň. Páči sa mi, že v Novezamky sa špecializujete na inštaláciu a rozvod plynu.",,+421 35/642 42 24,Nové Zámky,
23,V-K-Plyn,https://v-k-plyn.sk/,V K Plyn,"Dobrý deň. Páči sa mi, že v V K Plyn sa špecializujete na inštalatérske a kúrenárske služby s viac ako.",,+421 904 137 502,,Kúrenárske práce
24,Nyári Ján,http://www.nyari.sk/,Nyari,"Dobrý deň. Páči sa mi, že v Nyari sa zameriavate sa na praktické rady a triky.",,+421 905 666 551,Dubník,Vodoinštalatér
25,Gasrev s.r.o.,https://gasrev.sk/,Gasrev,"Dobrý deň. Páči sa mi, že v Gasrev sa špecializujete na revíziu plynových zariadení a zabezpečuje pravidelnú kontrolu.",,+421 915 300 345,Košice,Plynoinštalatér
26,Revízny technik - východ,https://www.reviznytechnik-vychod.sk/,Reviznytechnik Vychod,"Dobrý deň. Páči sa mi, že v Reviznytechnik Vychod sa špecializujete na revízie plynových a tlakových zariadení.",,+421 919 141 487,,Služba inštalácie plynu
27,REVÍZIE PLYNU a plynových zariadení,,REVÍZIE PLYNU a plynových zariadení,"Dobrý deň. Páči sa mi, že v REVÍZIE PLYNU a plynových zariadení sa venujete inštaláciám a servisu plynových zariadení.",,+421 940 225 747,Žilina,Plynoinštalatér
28,Revízie a servis s.r.o.,http://www.revizieaservis.sk/,Revizieaservis,"Dobrý deň. Páči sa mi, že v Revizieaservis sa venujete kúrenárskym prácam a inštaláciám.",,+421 908 711 850,"Veča, Šaľa",Kúrenárske práce
29,Voda - plyn - kúrenie,https://vizgazfutes.ewk.hu/,Ewk,"Dobrý deň. Páči sa mi, že v Ewk sa špecializujete na komplexné služby v oblasti vodoinštalácie a kúrenia.",,+421 908 642 753,Komárno,Mechanik
30,Revízie Bratislava,http://www.revizieba.sk/,Revizieba,"Dobrý deň. Páči sa mi, že v Revizieba sa špecializujete na poskytovanie kvalitných revíznych služieb v oblasti elektroinštalácií.",,+421 910 681 668,Petržalka,Elektrikár
31,Molnár - revízia plynu,,Molnár,"Dobrý deň. Páči sa mi, že v Molnár pôsobíte v sektore Služba inštalácie plynu.",,+421 918 749 210,,Služba inštalácie plynu
32,Vzduchotechnika-shop.sk,https://vzduchotechnika-shop.sk/,Vzduchotechnika Shop,"Dobrý deň. Páči sa mi, že v Vzduchotechnika Shop sa zameriavate na široký sortiment ventilátorov a vzduchotechnických komponentov.",,+421 949 762 827,Mužla,Elektronické obchodovanie
33,AMEXX s.r.o.,https://amexx.sk/,Amexx,"Dobrý deň. Páči sa mi, že v Amexx sa špecializujete na poskytovanie kvalitných produktov v oblasti vzduchotechniky a.",,+421 948 912 150,Mužla,Elektronické obchodovanie
34,IDEÁL Klíma,,IDEÁL Klíma,"Dobrý deň. Páči sa mi, že v IDEÁL Klíma pôsobíte v sektore oblasti služieb.",,+421 911 218 996,Mužla,
35,Coldex - Klimatizačná Technika,,Coldex,"Dobrý deň. Páči sa mi, že v Coldex pôsobíte v sektore Dodávateľ klimatizácií.",,+421 903 226 337,Štúrovo,Dodávateľ klimatizácií
